num_splits,buy_threshold,investment_ratio,consider_delisting,max_stocks,Average_Total_Value,Average_CAGR,Average_MDD
30,30,0.3,FALSE,30,628411001.4,0.133382076,0.536313649
10,40,0.1,FALSE,40,646522229,0.133094687,0.535562197
10,50,0.2,FALSE,40,668933011.6,0.132668652,0.552346351
20,50,0.3,FALSE,40,620506635.2,0.131753487,0.579127859
10,40,0.3,FALSE,40,636139831.6,0.130782849,0.543982359
10,30,0.1,FALSE,40,571590303.2,0.130483382,0.546733803
20,40,0.3,FALSE,30,602980482.2,0.130337802,0.543898028
20,30,0.2,FALSE,30,636390102,0.129794056,0.54763935
10,40,0.2,FALSE,40,691690318.6,0.129192009,0.553887797
20,30,0.1,FALSE,40,555758976,0.128835362,0.525619077
10,30,0.2,FALSE,30,563233474.8,0.128669445,0.55365586
20,50,0.3,FALSE,30,570374315.2,0.126559761,0.557328298
30,30,0.2,FALSE,30,527094573.8,0.124939472,0.520191
20,50,0.3,FALSE,20,577060761.2,0.124651772,0.531902945
30,40,0.2,FALSE,40,543171387.2,0.124648279,0.52529109
10,50,0.2,FALSE,30,542468415.4,0.124513791,0.542241529
30,50,0.3,FALSE,30,582910561,0.124127877,0.5385822
30,40,0.3,FALSE,40,536844740.2,0.123949876,0.550960336
10,50,0.3,FALSE,20,541449340.2,0.123804552,0.554927198
20,30,0.3,FALSE,20,548501567.6,0.123477557,0.563008013
10,40,0.3,FALSE,30,592439398,0.123435758,0.550697486
20,40,0.3,FALSE,20,679268909.2,0.123272936,0.53727689
10,30,0.1,FALSE,30,527991911.8,0.122991375,0.556906691
20,50,0.2,FALSE,40,541106825.6,0.122907484,0.537584297
10,50,0.1,FALSE,40,559815181,0.120752571,0.535350874
30,30,0.3,FALSE,20,547467539,0.12041846,0.544960537
20,40,0.3,FALSE,40,537471247.2,0.120233246,0.55250611
20,40,0.2,FALSE,40,560526187.4,0.119852243,0.54825673
20,30,0.2,FALSE,20,491647913.6,0.119557769,0.547391951
10,40,0.2,FALSE,30,544362234.8,0.117678291,0.5537868
20,50,0.2,FALSE,30,529428064,0.116381283,0.525698695
30,50,0.2,FALSE,40,490591082.8,0.115673192,0.52872712
10,40,0.1,FALSE,30,510839769.2,0.115013754,0.521517195
10,40,0.3,FALSE,20,477213107.8,0.114903962,0.542631405
20,40,0.2,FALSE,30,531305609.4,0.114368922,0.533889534
10,30,0.2,FALSE,20,457479472.2,0.114244375,0.575723427
30,40,0.3,FALSE,30,486363484.4,0.114171506,0.554629769
30,50,0.3,FALSE,40,485560258.2,0.114010997,0.566479749
10,40,0.2,FALSE,20,505461276.8,0.112895579,0.539952434
30,40,0.2,FALSE,30,507614640.6,0.112027098,0.520839025
30,50,0.2,FALSE,30,462099871.4,0.109314371,0.477273878
10,50,0.3,FALSE,40,465765578,0.10915526,0.557292028
10,50,0.1,FALSE,30,488600132.6,0.10915196,0.550637793
20,40,0.2,FALSE,20,441509533,0.106764748,0.560930225
20,40,0.1,FALSE,40,402177318.6,0.10306645,0.530434479
20,30,0.1,FALSE,30,404057328,0.102985078,0.477717685
10,50,0.2,FALSE,20,396446192.4,0.102923133,0.539472767
10,30,0.1,FALSE,20,412809477.2,0.102864738,0.51736487
20,50,0.2,FALSE,20,430592119.2,0.102734457,0.51049082
30,30,0.1,FALSE,40,405486345.2,0.102577115,0.48271696
30,40,0.3,FALSE,20,440705482,0.10128022,0.546213208
10,30,0.05,FALSE,40,384400969.4,0.099218484,0.514289154
30,50,0.3,FALSE,20,390296326.8,0.098534786,0.49367865
10,30,0.3,FALSE,20,446908379,0.098440495,0.581854922
20,40,0.1,FALSE,30,383088258.4,0.096506829,0.477437199
20,50,0.1,FALSE,40,367356873.8,0.095469819,0.506233113
10,40,0.05,FALSE,40,373073196.4,0.095008985,0.488660197
10,30,0.05,FALSE,30,351769970.2,0.091710657,0.442741527
30,30,0.2,FALSE,20,332498808.6,0.090688918,0.487750092
10,50,0.05,FALSE,40,334581839.2,0.088643505,0.46564895
10,50,0.1,FALSE,20,344208032.4,0.088565928,0.503854465
20,50,0.1,FALSE,30,328644195.6,0.084516841,0.472074597
10,40,0.1,FALSE,20,334373380.4,0.084291662,0.524837779
30,40,0.1,FALSE,40,313076753.2,0.082862436,0.450763469
30,40,0.2,FALSE,20,319246638.6,0.082167975,0.461931371
30,30,0.1,FALSE,30,307855340.8,0.080700035,0.434784601
30,50,0.1,FALSE,40,288231570,0.076813825,0.438668799
20,30,0.1,FALSE,20,275482721.2,0.076345706,0.438573685
10,50,0.05,FALSE,30,281040228.8,0.07543613,0.365323854
20,30,0.05,FALSE,40,285791113.2,0.075364034,0.423186447
30,40,0.1,FALSE,30,272463978.2,0.073838118,0.378095453
30,50,0.2,FALSE,20,281751037,0.07368522,0.460528504
10,40,0.05,FALSE,30,272943658.4,0.073248183,0.432648822
20,40,0.1,FALSE,20,251438952.4,0.067650839,0.413420237
20,40,0.05,FALSE,40,251147939.2,0.066416977,0.388265238
20,50,0.1,FALSE,20,250161129.2,0.064177376,0.358745746
20,30,0.05,FALSE,30,230992003.2,0.059777333,0.327638507
30,50,0.1,FALSE,30,229758842.8,0.059567612,0.381822532
20,50,0.05,FALSE,40,222705858.6,0.057323806,0.368329154
30,30,0.05,FALSE,40,217805608.8,0.056081915,0.29960625
10,30,0.05,FALSE,20,213469090.2,0.055227781,0.316120373
